,Asset Name,Asset Type,Asset Address,Asset Size SQF,Asset Date Built,2023 FCI Rating
226,GAGE PARK - BAND SHELL,Park Facilities - Public Use,1000 MAIN STREET EAST,980,1951-01-02,0.2434083942231819
227,Gage Park - Band Shell Washrooms / Storage,Park Facilities - Public Use,1000 Main St. E.,1800,1962-01-02,0.3183054078032419
228,Gage Park - Baseball Change Room Bldg By Parking Lot,Park Facilities - Public Use,1000 Main St. E.,867,1962-01-02,0
229,GAGE PARK - HORTICULTURE (F),Work Yards & Maintenance,1000 MAIN STREET EAST,7389,1997-01-02,0.07291040619962413
230,GAGE PARK - PRODUCTION GREENHOUSE,Work Yards & Maintenance,1000 MAIN STREET EAST,20000,2015-01-02,0.009386754063440542
231,Gage Park - Small Building South Of Baseball Change Rooms,Park Facilities - Maintenance & Storage,1000 Main St. E.,158,1968-01-02,0.5889848184117579
232,Gage Park - Small Storage Shed Next To Lawn Bowling Club House,Park Facilities - Maintenance & Storage,1000 Main St. E.,194,1962-01-02,0.09061579172495736
233,Gage Park - Small Structure North Of Tennis Courts,Park Facilities - Maintenance & Storage,1000 Main St. E.,342,1962-01-02,0.17032411830895286
234,"Gage Park - Splash Pad Washroom, Utility Bldg For Wading Pool And Spray Pad",Park Facilities - Public Use,1000 Main St. E.,480,2002-01-02,0.17518614734642327
235,GAGE PARK - TROPICAL GREENHOUSE,Work Yards & Maintenance,1000 MAIN STREET EAST,6090,1980-01-02,0.8100746726987907
236,Gatesbury Park - Sun Shelter,Park Facilities - Public Use,28 Niska Dr.,250,2017-11-01,0
237,GATESBURY PARK - WASHROOM,Park Facilities - Public Use,28 NISKA DRIVE,700,2002-01-02,0
238,Gilkson Park - Small Storage Next To Playground,Park Facilities - Maintenance & Storage,50 Gemini Dr.,274,2004-01-02,0
239,Gilkson Park - Small Utility Shed Next To Ball Diamond At Street,Park Facilities - Maintenance & Storage,50 Gemini Dr.,100,1968-01-02,0.2656357890477215
240,Gilkson Park - Washrooms And Utility For Spray Pad,Park Facilities - Public Use,50 Gemini Dr.,1234,2004-01-02,0.020924177195458745
241,GLANBROOK ARENA & AUDITORIUM (F),Arenas,4300 BINBROOK ROAD,41163,1975-01-02,0.048806781966238416
242,GLANBROOK HILLS PARK - ICE HUT,Park Facilities - Maintenance & Storage,225 GRETI DRIVE,70,2020-11-25,0
243,GLANBROOK HILLS PARK - PAVILION,Park Facilities - Public Use,225 GRETI DRIVE,450,2020-11-25,0
244,Glanbrook Sports Park - Concession / Washrooms,Park Facilities - Public Use,4300 Binbrook Rd.,505,1985-01-02,0.12464243030456397
245,GLANBROOK TOWN HALL (MSC),Administration Facilities,4280 BINBROOK ROAD,9686,1999-01-02,0.011030563769592593
246,Glendale Park - Spray Pad Utility Bldg / Storage,Park Facilities - Public Use,255 Rainbow Dr.,683,2002-01-02,0
247,Gourley Park - Small Storage Building,Park Facilities - Maintenance & Storage,142 Duncairn Cres.,240,1985-01-02,0
248,Gourley Park - Washroom / Storage / Concession,Park Facilities - Public Use,142 Duncairn Cres.,1377,1985-01-02,0.05786511446770095
249,GREEN ACRES OUTDOOR POOL,Outdoor Pools,50 RANDALL AVENUE,15414,1960-01-02,0.006162996641948718
250,GREENSVILLE COMMUNITY HALL (H),Community Centres,283 BROCK ROAD,4508,1875-01-01,0.17035350632969126
251,GREENSVILLE LIBRARY & RECREATION CENTRE,Libraries,625 HARVEST ROAD,3400,2018-02-28,0
252,GROVE CEMETERY,Cemeteries,129 YORK ROAD,632,1990-01-01,0.028093551753857148
253,H.G. BREWSTER POOL (P),Indoor Pools,206 DEWITT ROAD,10654,1976-01-02,0.1541663623994962
254,HAAA - Field House/Changeroom/Washrooms,Park Facilities - Public Use,250 Charlton Ave. W.,5356,1940-01-01,0.3696445323409276
255,HAMILTON CEMETERY - MAIN BUILDING (F) (H),Cemeteries,777 YORK BOULEVARD,2206,1900-01-01,0.628181525551538
256,HAMILTON CITY HALL (H),Administration Facilities,71 MAIN STREET WEST,167994,1962-01-02,0
257,HAMILTON CITY HALL GARAGE (F) (H),Administration Facilities,71 MAIN STREET WEST,30544,1962-01-02,0.0026346154016964134
258,HAMILTON CONVENTION CENTRE,Entertainment Facilities,1 SUMMERS LANE,188903,1981-01-01,0.1193164359484793
259,HAMILTON FARMERS MARKET,Administration Facilities,35 YORK BOULEVARD,55235,1980-01-02,0.12707447194452645
260,HAMILTON POLICE CENTRAL STATION (STATION 10),Police Stations,155 KING WILLIAM STREET,132000,1976-01-01,0.022616217736259856
261,HAMILTON POLICE EAST END STATION (STATION 20),Police Stations,2825 KING STREET EAST,40000,1992-01-01,0.03171378889749943
262,HAMILTON POLICE FORENSIC INVESTIGATION DIVISION BUILDING (ISD),Police Stations,100 WILSON STREET,62887,2020-03-20,0
263,HAMILTON POLICE MARINE UNIT,Police Stations,110 HARBOUR FRONT DRIVE,2650,2021-05-24,0
264,HAMILTON POLICE MOUNTAIN STATION (STATION 30),Police Stations,400 RYMAL ROAD EAST,40000,2003-01-01,0.03308612329060462
265,HAMILTON SPCA,Administration Facilities,245 DARTNALL ROAD,24468,1999-01-02,0.16078465664713082
266,HAMILTON TENNIS CLUB,Park Facilities - Public Use,257 DUKE STREET,7064,1996-01-02,0.0076474895777817525
267,HARRY HOWELL TWIN PAD ARENA (NORTH WENTWORTH),Arenas,27 HIGHWAY 5 WEST,92641,2012-08-02,0.004029454637759494
268,Heritage Green - Storage & Washroom Building,Park Facilities - Maintenance & Storage,355 First Rd. W,5213,2018-05-29,0
269,HERITAGE GREEN COMMUNITY DOG PARK - PAVILION,Park Facilities - Public Use,297 FIRST ROAD WEST,160,2018-01-01,0
270,Heritage Green Community Sports Park - Parks Works Building,Park Facilities - Maintenance & Storage,355 First Rd. W.,5600,2018-01-02,0.0037310911883070967
271,HERITAGE GREEN SPORTS PARK - PAVILION,Park Facilities - Public Use,355 FIRST ROAD WEST,160,2018-01-01,0
274,HERITAGE GREEN SPORTS PARK - WASHROOMS / STORAGE / UTILITIES,Park Facilities - Public Use,355 First Rd. W.,5213,2014-01-02,0.049264190869968603
275,Highview Park - Storage Shed,Park Facilities - Maintenance & Storage,879 Brucedale Ave.E,63,2013-01-02,0
276,HILL PARK RECREATION CENTRE (P),Indoor Pools,305 SOUTH BEND ROAD EAST,16685,1977-01-02,0.14250011125904044
277,Huntington Park - Sun Shelter,Park Facilities - Public Use,87 Brentwood Drive,380,1997-01-01,0
278,HUNTINGTON PARK RECREATION CENTRE (P),Indoor Pools,87 Brentwood Dr,29681,1997-01-02,0.026999153213888204
279,INCH OUTDOOR POOL,Outdoor Pools,400 QUEENSDALE AVENUE EAST,2318.28,2011-01-02,0.01091436708288827
280,INCH PARK ARENA,Arenas,400 QUEENSDALE AVENUE EAST,33995,1995-01-02,0.04099044924090769
281,J.C. BEEMER PARK - WASHROOM,Park Facilities - Public Use,68 VICTORIA AVENUE NORTH,2000,2014-01-01,0.03256510631995952
282,J.L. GRIGHTMIRE ARENA,Arenas,35 MARKET STREET SOUTH,76899.23,1956-01-02,0
283,Jackie Washington Rotary Park - Washrooms / Concession,Park Facilities - Public Use,363 Wellington St. N.,678,2002-01-02,0.002562540793963893
285,JIMMY THOMPSON MEMORIAL POOL (P) (H),Indoor Pools,1099 KING STREET EAST,23129,1934-01-02,0.042684359200023426
286,Joe Sam's Leisure Park - Parks Storage Building,Park Facilities - Maintenance & Storage,752 Centre Rd.,14836,1975-01-02,0.14435293866637747
287,JOE SAM'S LEISURE PARK - PAVILION,Park Facilities - Public Use,752 CENTRE ROAD,1130,2018-01-01,0
288,Joe Sam's Leisure Park - Pole Barn Storage For Public Works,Park Facilities - Maintenance & Storage,752 Centre Rd.,14406,1975-01-02,0.04723544049610797
289,Joe Sam's Leisure Park - Washroom And Storage / Snack Bar,Park Facilities - Public Use,752 Centre Rd.,1795,1975-01-02,0.09593918556824681
290,JONES ROAD YARD - ANIMAL CONTROL,Work Yards & Maintenance,345 JONES ROAD,2772,1996-01-02,0.11753051655739104
291,KANÉTSKARE RECREATION CENTRE (P) (FORMERLY RYERSON),Indoor Pools,251 DUKE STREET,27847,1975-01-02,0.06056426267039621
292,KENILWORTH LIBRARY,Libraries,103 KENILWORTH AVENUE NORTH,7959,1934-01-02,0.1016277844595164
293,KING GEORGE ELEMENTARY SCHOOL,Administration Facilities,77 GAGE AVENUE NORTH,20700,1912-01-01,0.23888926622472614
294,KINGS FOREST GOLF - CLUBHOUSE,Golf Facilities,100 GREENHILL AVENUE,13454,1977-01-02,0.14842219930269898
295,KINGS FOREST GOLF - MAINTENANCE BUILDING,Golf Facilities,100 GREENHILL AVENUE,6474,1968-01-02,0.004312977855073805
296,KINGS FOREST GOLF - PAVILION A,Golf Facilities,100 GREENHILL AVENUE,199,1985-01-02,0
297,KINGS FOREST GOLF - QUONSET,Golf Facilities,100 GREENHILL AVENUE,2084,2002-01-02,0.019695581673376546
298,KINGS FOREST GOLF - STORAGE / OFFICE,Golf Facilities,100 GREENHILL AVENUE,1211,1985-01-02,0
299,Kings Forest Golf Club - Pump House,Golf Facilities,100 Greenhill Ave.,160,2009-01-01,0
300,Kings Forest Golf Club - Washrooms,Golf Facilities,100 Greenhill Dr.,180,2009-01-01,0
301,Kinsmen Park - Picnic Shelter,Park Facilities - Public Use,387 Beach Blvd.,747,2014-01-02,0
302,KIWANIS BOYS & GIRLS CLUB (P),Indoor Pools,45 ELLIS AVENUE,18000,1965-01-02,0.014834032575090084
303,KIWANIS COMMUNITY CENTRE,Community Centres,200 JONES ROAD,6979,1976-01-02,0.4610009339522331
304,LIMERIDGE TRANSIT TERMINAL,Transit Facilities,999 UPPER WENTWORTH STREET,198,1984-01-01,0.15962637985946732
305,Lisgar Park - Bocce Building,Park Facilities - Public Use,95 Carson Dr.,765,2014-01-02,0
306,Lisgar Park - Sun Shelter,Park Facilities - Public Use,95 Carson Dr.,690,2002-01-02,0
307,LISTER BLOCK (H),Administration Facilities,28 JAMES STREET NORTH,77084,1928-01-02,0
308,Little League Park - Storage,Park Facilities - Maintenance & Storage,880 Queenston Rd.,499,1987-01-02,0
309,LOCKE LIBRARY,Libraries,285 LOCKE STREET SOUTH,1485,1895-01-02,0.05443594906822691
310,Lucy Day Park - Storage & Utility,Park Facilities - Maintenance & Storage,33 Clinton St.,351,1968-01-02,0.16096730729763348
311,Lynden Legion Park - Picnic Pavilion,Park Facilities - Public Use,206 Lynden Rd.,337,1984-01-02,0.33289109969552383
312,"Lynden Legion Park - Royal Canadian Legion, Beverly Branch 500",Park Facilities - Public Use,206 Lynden Rd.,8400,1984-01-02,0.276716044249836
313,LYNDEN LIBRARY,Libraries,110 LYNDEN ROAD,3815,2012-01-02,0.0014846013823640897
314,LYNDEN LIONS CLUB,Community Centres,4070 GOVERNORS ROAD,2280,1900-01-01,0.020436174665855837
315,Lynden Lions South Park - Picnic Pavilion,Park Facilities - Public Use,4070 Governor's Rd.,864,2014-01-02,0.015109623815750697
316,Lynden Lions South Park - Washroom/Concession North End Of Park,Park Facilities - Public Use,4070 Governor's Rd.,1167,1985-01-02,0.17025715390460297
317,MACASSA LODGE,Lodges,701 UPPER SHERMAN AVENUE,236186,1960-01-02,0.04309250577105339
318,Macassa Park - Small Utility Bldg,Park Facilities - Maintenance & Storage,9 Dallas Ave.,72,2014-01-01,0
319,Macassa Park - Washroom / Storage,Park Facilities - Public Use,777 Upper Sherman Ave.,4075,1985-01-02,0.024771911169878057
320,Mahony Park - Washrooms (Renovations 2017),Park Facilities - Public Use,1655 Barton St. E.,6370,1969-01-02,0.19624661000394206
322,Maplewood Park - Storage,Park Facilities - Maintenance & Storage,2nd Road West,355,1968-08-30,0.09634276304136634
323,MARTINO MEMORIAL PARK - CHANGEROOMS & WASHROOMS,Park Facilities - Public Use,147 KING STREET EAST,930,1985-01-02,0.4340353769653453
324,MARTINO MEMORIAL PARK - CONCESSION & WASHROOMS,Park Facilities - Public Use,147 KING STREET EAST,1832,1984-01-02,0.0175148894074853
325,MATA-B - FIRE ADMINISTRATION,Fire & EMS,1227 STONE CHURCH ROAD EAST,36512,2010-01-02,0
326,MATA-C - INDOOR TRAINING CENTRE,Fire & EMS,1227 STONE CHURCH ROAD EAST,40000,2010-01-02,0.00018062148239663032
327,MATA-D - FIRE SMOKE HOUSE & BURN TOWER,Fire & EMS,1227 STONE CHURCH ROAD EAST,5522,2015-01-02,0.018649043734007904
328,MATERIALS RECYCLING FACILITY (FIRESTONE),Work Yards & Maintenance,1579 BURLINGTON STREET EAST,273195,1960-01-02,0.037942943189941944
329,McLaren Park - Shade Structure,Park Facilities - Public Use,160 John St. N,225,2016-05-02,0
330,Memorial Park - Bocce Building,Park Facilities - Public Use,87 Glen Cannon Dr.,560,2014-01-02,0
331,MILLGROVE COMMUNITY CENTRE,Community Centres,855 MILLGROVE SIDE ROAD,4811,1986-01-02,0.03163855455988248
332,Millgrove Park - Pavilion / Concession,Park Facilities - Public Use,857 Millgrove Side Rd,1680,1974-01-02,0.006779566843786702
333,Millgrove Park - Small Storage / Washroom Between The Diamonds,Park Facilities - Public Use,857 Millgrove Side Rd,280,1974-01-02,0.7075312685958737
334,Millgrove Park - Washrooms,Park Facilities - Public Use,857 Millgrove Side Rd,436,1974-01-02,0.5665591920255982
335,MOHAWK 4 ICE CENTRE,Arenas,710 MOUNTAIN BROW BOULEVARD ,136000,2005-01-01,0.04682365958712124
336,Mohawk Sports Park - Baseball Dugout Structure First Base Line,Park Facilities - Public Use,1100 Mohawk Rd E,212,1985-01-02,0
337,Mohawk Sports Park - Baseball Dugout Structure Third Base Line,Park Facilities - Public Use,"1100 Mohawk Rd E, Hamilton, ON",212,1985-01-02,0
338,MOHAWK SPORTS PARK - BERNIE ARBOUR STADIUM,Park Facilities - Public Use,685 UPPER KENILWORTH AVENUE,5095,1982-01-02,0.007035133752074685
339,Mohawk Sports Park - Small Storage Structure Adjacent To Scorer's Booth,Park Facilities - Maintenance & Storage,1100 Mohawk Rd E,143,1982-01-02,0.818433044821128
340,Mohawk Sports Park - Small Structure Next To Rugby Building,Park Facilities - Maintenance & Storage,1100 Mohawk Rd E,158,1968-01-02,0.17885643111955857
341,Mohawk Sports Park - Soccer Field House Building / Storage For Parks,Park Facilities - Maintenance & Storage,805 UPPER KENILWORTH AVENUE,8000,1991-01-02,0.05713960594229186
342,Mohawk Sports Park - Storage - Most Southerly Bldg Between 2 Ball Diamonds,Park Facilities - Maintenance & Storage,1100 Mohawk Rd E,243,1982-01-02,0.06977615526029501
343,Mohawk Sports Park - Storage / Office Space,Park Facilities - Maintenance & Storage,1100 Mohawk Rd E,1565,1982-01-02,0.03768669261590839
344,MOHAWK SPORTS PARK B - RUGBY CLUBHOUSE,Park Facilities - Public Use,699 UPPER KENILWORTH AVENUE,2784,1993-01-02,0.056708499993545665
345,MOHAWK SPORTS PARK C - PARKS UTILITY BUILDING,Park Facilities - Maintenance & Storage,805 UPPER KENILWORTH AVENUE,1711,1991-01-02,0.046469036610403476
346,MOHAWK SPORTS PARK D - RAY LEWIS TRACK & FIELD CENTRE,Park Facilities - Public Use,805 UPPER KENILWORTH AVENUE,6545,1982-01-02,0.028139499537466715
347,Montgomery Park - Pavilion,Park Facilities - Public Use,1570 Main St. E.,336,1964-01-02,0
348,Montgomery Park - Pavilion - Sun Shelter Part Of Play Equipment,Park Facilities - Public Use,1570 Main St. E.,381,1964-01-02,0.01127505276984944
349,Montgomery Park - Washroom / Storage / Concession,Park Facilities - Public Use,1570 Main St. E.,2788,1964-01-02,0
350,MORGAN FIRESTONE ARENA & ROTARY CENTRE,Arenas,385 JERSEYVILLE ROAD WEST,92570,1996-01-02,0.019617367992419043
351,MOUNT HAMILTON CEMETERY,Cemeteries,244 RYMAL ROAD EAST,355,1978-01-01,2.5187653417756213
352,MOUNT HOPE COMMUNITY YOUTH CENTRE,Community Centres,3027 HOMESTEAD DRIVE,6035,1964-01-02,0.07375750710585233
353,MOUNT HOPE LIBRARY,Libraries,3027 HOMESTEAD DRIVE,6015,1908-01-02,0.0434351966838781
355,MOUNT HOPE YARD - MAIN BUILDING (F),Work Yards & Maintenance,7098 AIRPORT ROAD,5539,1969-01-02,0.2632488917714666
356,MOUNT HOPE YARD - SALT / SAND STORAGE,Work Yards & Maintenance,7098 AIRPORT ROAD,2580,2004-01-02,0.23356532559932217
357,MOUNT HOPE YARD - SMALL STORAGE BUILDING,Work Yards & Maintenance,7098 AIRPORT ROAD,130,1969-01-01,0.1871364193446411
358,Mount Lions Park - Sun Shelter Pavilion,Park Facilities - Public Use,450 Queen Victoria Dr.,380,2002-01-02,0
360,Mountain Drive Park - Washrooms / Storage,Park Facilities - Public Use,935 Concession St.,2152,1968-01-02,0.034407572010222966
361,MOUNTSBERG HALL,Community Centres,2133 CENTRE ROAD,1432,1944-01-02,0.2933829707240667
362,MOUNTVIEW GARDENS - CEMETERY,Cemeteries,735 HIGHWAY 8,1355,1985-01-02,0.002183720019332516
363,Mountview Park - Storage / Pavilion,Park Facilities - Public Use,115 San Antonio Dr.,557,1990-01-01,0
364,MTC - MOUNTAIN TRANSIT CENTRE (F),Transit Facilities,2200 UPPER JAMES STREET,283917,1983-01-01,0.028919438401897507
365,Myrtle Park - Pavilion/Storage,Park Facilities - Public Use,13 Delaware Ave.,1160,1969-01-02,0.017054345379112885
366,NORMAN PINKY LEWIS RECREATION CENTRE (P),Indoor Pools,192 WENTWORTH STREET NORTH,35074,1985-01-02,0.0697498908834528
367,OLYMPIC WESTOBY ARENA,Arenas,70 OLYMPIC DRIVE,27086,1982-01-02,0.010454162597979027
368,OPTIMIST YOUTH CENTRE,Community Centres,237 MANITOU WAY,3819,1969-01-02,0.040500699618434416
369,PARKDALE OUTDOOR POOL,Outdoor Pools,1770 MAIN STREET EAST,4700,1965-01-02,0.07426804593460219
370,PARKING OPERATIONS - CAR PARK 37,Administration Facilities,80 MAIN STREET WEST,254780,1982-01-02,0.005494919875240987
371,PAT QUINN PARKDALE ARENA,Arenas,1770 MAIN STREET EAST,34018,1999-01-02,0.313819933300383
372,PEDESTRIAN OVERPASS,Administration Facilities,1 SUMMERS LANE,1950,1984-01-01,0
373,Pier 4 Park - Gartshore Thomson Bldg (Heritage),Park Facilities - Public Use,Leander Dr,1975,1870-01-01,0.01493187385521558
374,Pier 4 Park - Pavilion/Sun Shelter At Water's Edge,Park Facilities - Public Use,Leander Dr,795,2014-01-02,0
375,Powell Park - Sun Shelter,Park Facilities - Public Use,53 Birch Ave.,380,1985-01-02,0
376,"Powell Park - Washrooms, Small Meeting Space, Storage",Park Facilities - Public Use,53 Birch Ave.,4305,1968-01-02,0.06001544965282428
377,PROVINCIAL OFFENCES ADMINISTRATION,Administration Facilities,50 MAIN STREET EAST,109188,1961-01-02,0.001195788300996662
378,R.L. HYSLOP SCHOOL,Administration Facilities,20 Lake Avenue South,25000,1978-01-03,0.07456167823903088
379,RED HILL FAMILY CENTRE,Administration Facilities,25 MOUNT ALBION ROAD,16084,1919-01-02,0.05034256613722754
380,Richwill Park - Sun Shelter,Park Facilities - Public Use,27 Richwill Rd.,354,2008-01-01,0
381,ROCKTON REGIONAL YARD - MAIN BUILDING (F),Work Yards & Maintenance,810 WOODHILL ROAD,7176,1984-01-02,0.3198742512549142
382,ROCKTON REGIONAL YARD - SALT STORAGE,Work Yards & Maintenance,810 WOODHILL ROAD,6555,1971-01-02,0.22505892673828806
383,ROSEDALE ARENA,Arenas,100 GREENHILL AVENUE,38074,1977-01-02,0.004596948662146817
384,Rosedale Lawn Bowling - Clubhouse,Park Facilities - Public Use,50 Lawrence Rd,3757,1934-01-02,0.019012525091759234
385,ROSEDALE OUTDOOR POOL,Outdoor Pools,30 GREENHILL AVENUE,596,2014-06-01,0.0002556732746423308
386,ROSEDALE PARK - BOCCE / BASEBALL FIELDHOUSE & PAVILION,Park Facilities - Public Use,100 GREENHILL AVENUE,5489,2014-01-02,0
387,ROSEDALE PARK - SMALL BUILDING NEXT TO BOCCE,Park Facilities - Maintenance & Storage,100 GREENHILL AVENUE,210,2014-01-01,0
388,Rosedale Park - Utility Bldg For Cso Tank (Hamilton Water),Park Facilities - Maintenance & Storage,60 Greenhill Ave.,990,1985-01-02,0.005615896840026472
389,Rosedale Park - Utility Bldg For New Cso Tank Behind Arena (Hamilton Water),Park Facilities - Maintenance & Storage,60 Greenhill Ave.,879,2014-01-02,0.003162563843383591
390,Rosedale Tennis Club Bubble Structure,Park Facilities - Public Use,42 Lawrence Rd,23065,2002-01-02,0.11277965587867037
391,Rosedale Tennis Club House,Park Facilities - Public Use,42 Lawrence Rd,2210,1977-01-02,0.11628042570721689
392,Roxborough Park - Washroom / Storage / Concession,Park Facilities - Public Use,70 Reid Ave. N.,1184,1985-01-02,0.04415857285663158
393,Sackville Hill Memorial Park - Bocce Sun Shelter,Park Facilities - Public Use,780 Upper Wentworth St,105,2002-01-02,0
394,Sackville Hill Memorial Park - Bocci Storage Shed,Park Facilities - Public Use,780 Upper Wentworth St,150,1996-01-02,0
395,Sackville Hill Memorial Park - Changeroom / Washrooms / Parks Staff Area,Park Facilities - Public Use,780 Upper Wentworth St,4000,2011-01-02,0.002543533796541979
396,Sackville Hill Memorial Park - Garbage Storage,Park Facilities - Maintenance & Storage,780 Upper Wentworth St,400,1996-01-02,0
397,Sackville Hill Memorial Park - Storage Garage Used By Parks,Park Facilities - Maintenance & Storage,780 Upper Wentworth St,500,1962-01-02,0.18087351442076294
398,SACKVILLE HILL SENIORS CENTRE,Senior Centres,780 UPPER WENTWORTH STREET,24452,1996-01-02,0.10421316835312189
399,SALTFLEET ARENA,Arenas,24 SHERWOOD PARK ROAD,24980,1964-01-02,0.10834235169880205
400,SALTFLEET COMMUNITY CENTRE (ALLIANCE CHURCH),Administration Facilities,605 HIGHWAY 8,28991,1985-01-02,0.08558080183836535
401,Sam Lawrence Park - Pavilion,Park Facilities - Public Use,255 & 371 Concession St.,1675,1968-01-02,0
402,Sam Manson Park - Bocce Club,Park Facilities - Public Use,80 NASH ROAD NORTH,1700,2015-01-01,0
403,Sam Manson Park - Sun Shelter,Park Facilities - Public Use,80 Nash Rd North,405,2013-01-01,0
404,Sam Manson Park - Washroom / Storage Bldg,Park Facilities - Public Use,80 Nash Rd. N.,3250,1979-01-02,0.1721776723813032
405,SANCTUARY PARK - WASHROOMS,Park Facilities - Public Use,27 SANCTUARY DRIVE,700,1978-01-02,0.2678085976273045
406,SEALY PARK SCOUT HALL,Community Centres,115 MAIN STREET SOUTH,3016,1855-01-01,0.34161504478879146
407,Shamrock Park - Storage,Park Facilities - Maintenance & Storage,101 Walnut St. S,156,1980-01-02,0
408,Shawinigan Park - Storage And Sunshelter,Park Facilities - Public Use,1 Guildwood Dr.,684,1990-01-01,0
409,Sheffield Ball Park - Concession / Shelter,Park Facilities - Public Use,1227 Sheffield Rd.,1161,1987-01-02,0.0758021269253682
410,Sheffield Ball Park - Pavilion,Park Facilities - Public Use,1227 Sheffield Rd.,580,1987-01-02,0
411,SHEFFIELD COMMUNITY HALL,Community Centres,2339 5TH CONCESSION ROAD WEST,4267,1877-01-01,0.039170502489786097
413,SIR ALLAN MACNAB RECREATION CENTRE (P),Indoor Pools,145 MAGNOLIA DRIVE,20871,1987-01-02,0.052715617831992446
414,SIR WILFRID LAURIER RECREATION CENTRE (P),Indoor Pools,60 ALBRIGHT ROAD,16617,1981-01-02,0.045151187031461704
415,SIR WINSTON CHURCHILL RECREATION CENTRE (P),Indoor Pools,1709 MAIN STREET EAST,12414,1970-01-02,0.049930040065725274
416,SPRING VALLEY ARENA,Arenas,29 ORCHARD DRIVE,29628,1974-01-02,0.22193028817802782
417,St. Christopher's Park - Storage With Sunshelter,Park Facilities - Public Use,48 Holly Ave.,652,2002-01-02,0.0034984066524088517
418,STONEY CREEK ARENA,Arenas,37 KING STREET WEST,28278,1973-01-02,0.030778514885638066
419,STONEY CREEK CITY HALL (L & MSC),Libraries,777 HIGHWAY 8,63432,1995-01-02,0.0033387369435689367
420,STONEY CREEK CIVIC OPERATIONS CENTRE - MAIN BUILDING (F),Work Yards & Maintenance,349 JONES ROAD,44186,1999-01-02,0.15223037456529476
421,STONEY CREEK CIVIC OPERATIONS CENTRE - SALT STORAGE,Work Yards & Maintenance,349 JONES ROAD,7200,2016-01-02,0
422,STONEY CREEK CIVIC OPERATIONS CENTRE - SAND STORAGE,Work Yards & Maintenance,349 JONES ROAD,12696,1971-01-02,0.1405518348661481
423,STONEY CREEK RECREATION CENTRE (P),Indoor Pools,45 KING STREET WEST,27992,2016-01-02,8.389332598358183e-05
424,STONEY CREEK STORAGE BUILDING & WORKSHOP (H),Park Facilities - Maintenance & Storage,77 KING STREET WEST,875,1977-01-02,0.2750414546914258
425,Stoney Creek Tennis Club House,Park Facilities - Public Use,880 Queenston Rd.,2274,1987-01-02,0.10120799666358309
426,Strabane Community Park - Pavilion,Park Facilities - Public Use,1315 Brock Rd. (Brock & 7th Concession),880,1971-01-02,0
427,Strabane Community Park - Washroom / Concession / Storage,Park Facilities - Public Use,1315 Brock Rd. (Brock & 7th Concession),900,1971-01-02,0.3225672564417952
428,T.B. Mcquesten Park - Storage / Washroom / Utility,Park Facilities - Public Use,1199 Upper Wentworth St.,4336,2002-01-02,0.024982673280064323
429,TAPLEYTOWN YARD - SALT STORAGE,Work Yards & Maintenance,119 TAPLEYTOWN ROAD,7018,2006-01-02,0.2776378070211208
430,TAPLEYTOWN YARD - SAND STORAGE,Work Yards & Maintenance,119 TAPLEYTOWN ROAD,1052,1982-01-02,0.14039469603592614
431,Templemead Park - Storage,Park Facilities - Maintenance & Storage,30 Independence Dr.,138,1968-01-02,0.7258577490028723
432,Templemead Park - Sunshelter,Park Facilities - Public Use,30 Independence Dr.,560,2002-01-02,0.04245471402737701
433,TERRYBERRY LIBRARY,Libraries,100 MOHAWK ROAD WEST,28108,1995-01-02,0.15324045544813372
434,THE OPTIMIST CLUB OF STONEY CREEK,Community Centres,830 Queenston Rd.,4998,1964-01-02,0.01040531726889376
435,TIM HORTONS FIELD,Entertainment Facilities,64 MELROSE AVENUE NORTH,327148,2014-09-02,0.011935815615424686
436,Tower Park - Storage,Park Facilities - Maintenance & Storage,46 Woodend Dr.,140,1979-01-02,0.05926520134766565
437,TRAFFIC OPERATIONS CENTRE (F),Work Yards & Maintenance,1375 UPPER OTTAWA STREET,52017,1995-01-02,0.10233419149581609
438,Trenholme - Splashpad Equipment Building,Park Facilities - Maintenance & Storage,135 Trenholme Cres.,50,2012-01-02,0
439,Trenholme Park - Bocci Storage Shed,Park Facilities - Public Use,135 Trenholme Cres.,302,1968-01-02,0
440,TRENHOLME PARK - PAVILION,Park Facilities - Public Use,135 TRENHOLME CRESCENT,394,1985-01-02,0
441,TRENHOLME PARK - WASHROOMS,Park Facilities - Public Use,135 TRENHOLME CRESCENT,852,2017-01-01,0
442,Trieste Bocce Club - Bocce Court,Park Facilities - Public Use,60 Dicenzo Dr.,3500,2009-01-02,0
443,Trieste Bocce Club - Clubhouse,Park Facilities - Public Use,60 Dicenzo Dr.,1000,2009-01-02,0.08073381135149145
444,TURNER PARK - WASHROOMS (DIAMOND 3),Park Facilities - Public Use,352 RYMAL ROAD EAST,750,2018-06-19,0
445,"TURNER PARK - WASHROOMS (DIAMONDS 5,6,7,8)",Park Facilities - Public Use,344 RYMAL ROAD ,1500,2018-06-19,0
446,TURNER PARK LIBRARY,Libraries,352 RYMAL ROAD EAST ,77788,2009-01-02,0.005199561004763399
447,UPPER OTTAWA - SALT STORAGE,Work Yards & Maintenance,1199 UPPER OTTAWA STREET,11187,2005-01-02,0.04624694146090001
448,VALENS COMMUNITY HALL,Community Centres,1818 VALENS ROAD,3180,1959-01-02,0.028356266727421826
